name,city,gender,race_detailed,race_simplified
michelle wu,Boston,F,asian,nw
andrea campbell,Boston,F,black,w
dana depelteau,Boston,M,white,w
annissa essaibi george,Boston,F,arab,nw
jon santiago,Boston,M,latino,nw
kim janey,Boston,F,black,nw
michael bianchi,Boston,M,white,w
john barros,Boston,M,black,nw
scott stringer,New York City,M,white,w
eric adams,New York City,M,black,nw
maya wiley,New York City,F,black,nw
shaun donovan,New York City,M,white,w
kathryn garcia,New York City,F,white,w
ray mcguire,New York City,M,black,nw
dianne morales,New York City,F,black,nw
andrew yang,New York City,M,asian,nw
paperboy prince,New York City,N,black,nw
curtis sliwa,New York City,M,white,w
fernando mateo,New York City,M,latino,nw
isaac wright jr,New York City,M,black,nw
art chang,New York City,M,asian,nw
aaron foldenauer,New York City,M,white,w
